iter	RMSE
0	5.325522431
1	5.232138738
2	5.152993651
3	5.07947816
4	5.011476411
5	4.95258282
6	4.901069691
7	4.854317031
8	4.811614237
9	4.773222471
10	4.736906187
11	4.709621994
12	4.682988333
13	4.656304288
14	4.633667039
15	4.61266605
16	4.594667146
17	4.577098557
18	4.5604029
19	4.545333436
20	4.530806912
21	4.518160298
22	4.50629232
23	4.495798289
24	4.485412732
25	4.47590573
26	4.467682586
27	4.461006648
28	4.452285127
29	4.445024806
30	4.436245889
31	4.428831919
32	4.422790124
33	4.418521369
34	4.413573561
35	4.409699239
36	4.404897726
37	4.400585837
38	4.39694464
39	4.391568891
40	4.390461279
41	4.38574209
42	4.37869971
43	4.37595235
44	4.369355217
45	4.363714418
46	4.35975266
47	4.358193965
48	4.354804351
49	4.352006555
50	4.346468266
51	4.34457601
52	4.340513409
53	4.338058352
54	4.333169667
55	4.329440556
56	4.325607032
57	4.320312874
58	4.318577181
59	4.316466749
60	4.311689218
61	4.310378325
62	4.306346983
63	4.300431746
64	4.295646762
65	4.291910383
66	4.289537403
67	4.286339514
68	4.284850719
69	4.281995194
70	4.279551065
71	4.278639394
72	4.274682945
73	4.27098991
74	4.266793537
75	4.261828682
76	4.259429633
77	4.255935339
78	4.252812697
79	4.24810052
80	4.246397935
81	4.244681134
82	4.243487031
83	4.240976686
84	4.237553129
85	4.235421872
86	4.233550685
87	4.231294071
88	4.224386989
89	4.221939839
90	4.219583434
91	4.217979602
92	4.214434374
93	4.212527485
94	4.210817234
95	4.209632358
96	4.208142628
97	4.205660021
98	4.202372195
99	4.200489883
100	4.196644006
101	4.193683471
102	4.191210537
103	4.186066587
104	4.183560902
105	4.18103969
106	4.177437741
107	4.175631381
108	4.174778453
109	4.172148503
110	4.17017053
111	4.168483993
112	4.167557842
113	4.165213126
114	4.162478313
115	4.159961773
116	4.157986993
117	4.15465649
118	4.153430914
119	4.152253697
120	4.151186299
121	4.149467598
122	4.146723104
123	4.144438188
124	4.141640304
125	4.139377926
126	4.136707845
127	4.135901708
128	4.134349968
129	4.131660541
130	4.128391361
131	4.126628116
132	4.125216661
133	4.123362962
134	4.122057497
135	4.11965808
136	4.11760641
137	4.115808613
138	4.114589078
139	4.112817215
140	4.110956904
141	4.109338788
142	4.107624031
143	4.104631306
144	4.101831059
145	4.100832192
146	4.099681442
147	4.098079605
148	4.095566908
149	4.093337194
150	4.092220516
151	4.091967531
152	4.090224571
153	4.087510529
154	4.086256545
155	4.083984587
156	4.08210738
157	4.08103998
158	4.079848218
159	4.078511574
160	4.076958882
161	4.075141665
162	4.074896008
163	4.073490762
164	4.072091697
165	4.070029119
166	4.068714435
167	4.067923483
168	4.067594197
169	4.066067746
170	4.065160721
171	4.063917715
172	4.062754661
173	4.06170466
174	4.060304637
175	4.057942633
176	4.056955269
177	4.055943985
178	4.054604771
179	4.052457112
180	4.051583949
181	4.049893051
182	4.048705636
183	4.048107445
184	4.046989437
185	4.044469073
186	4.04395606
187	4.042441833
188	4.040634708
189	4.038343438
190	4.036909071
191	4.035181047
192	4.034253005
193	4.032271597
194	4.02984462
195	4.02926876
196	4.027747859
197	4.026546206
198	4.025758939
199	4.024781305
200	4.023573411
201	4.023208667
202	4.021493686
203	4.020721763
204	4.019804568
205	4.018386866
206	4.016826404
207	4.014612079
208	4.013682687
209	4.012529044
210	4.009982533
211	4.008583839
212	4.005495863
213	4.004225363
214	4.002787364
215	4.001241721
216	3.997942744
217	3.997046001
218	3.995232645
219	3.994171082
220	3.99307528
221	3.991798647
222	3.990379496
223	3.98948967
224	3.988653304
225	3.986929837
226	3.984208202
227	3.980729185
228	3.980008763
229	3.977491205
230	3.975705589
231	3.974720331
232	3.973596305
233	3.972582983
234	3.970772936
235	3.969786522
236	3.968376178
237	3.967188163
238	3.965179766
239	3.962910868
240	3.962039687
241	3.961097007
242	3.959672001
243	3.959048878
244	3.957740821
245	3.956364181
246	3.954481124
247	3.953517706
248	3.952700411
249	3.951413802
250	3.949677242
251	3.948223054
252	3.947144031
253	3.945688195
254	3.94468447
255	3.943832749
256	3.943314071
257	3.942740436
258	3.941984044
259	3.940570322
260	3.938334602
261	3.937201265
262	3.936710821
263	3.935528417
264	3.933622658
265	3.932426895
266	3.931748119
267	3.931020067
268	3.929898559
269	3.928941969
270	3.927991694
271	3.927046153
272	3.926219614
273	3.925401727
274	3.924475691
275	3.923235987
276	3.921426161
277	3.920451814
278	3.920201566
279	3.919727421
280	3.918603297
281	3.917285922
282	3.916129408
283	3.914867171
284	3.914135121
285	3.912941495
286	3.912258344
287	3.909987808
288	3.908581283
289	3.906598134
290	3.90639748
291	3.905576887
292	3.904420238
293	3.903552409
294	3.902641537
295	3.901951597
296	3.899186635
297	3.898053184
298	3.896780194
299	3.895944038
300	3.895302381
301	3.894074737
302	3.893424673
303	3.893177636
304	3.891924892
305	3.89079327
306	3.889792939
307	3.889325835
308	3.888600756
309	3.887733333
310	3.887519751
311	3.886467634
312	3.885002625
313	3.884079412
314	3.882996132
315	3.882072036
316	3.881837912
317	3.880962393
318	3.880355076
319	3.87952709
320	3.878570036
321	3.877742351
322	3.876559786
323	3.875870854
324	3.875305427
325	3.87361559
326	3.872946913
327	3.871389092
328	3.87000531
329	3.869299309
330	3.867889698
331	3.867145605
332	3.86533377
333	3.863906628
334	3.863544371
335	3.862793569
336	3.861426945
337	3.860462387
338	3.859753645
339	3.85944572
340	3.85874455
341	3.858073745
342	3.857444673
343	3.856837701
344	3.856453949
345	3.855718493
346	3.854556461
347	3.853519683
348	3.852713519
349	3.851751605
350	3.851063127
351	3.850401096
352	3.849577085
353	3.848846926
354	3.847792106
355	3.846507561
356	3.84460704
357	3.843898661
358	3.842599639
359	3.840987324
360	3.840171664
361	3.839588264
362	3.838218594
363	3.836927193
364	3.835994247
365	3.835118537
366	3.834380096
367	3.834032478
368	3.833129814
369	3.832165045
370	3.831037053
371	3.830429803
372	3.829467112
373	3.828812325
374	3.827950425
375	3.826358719
376	3.825425394
377	3.824814399
378	3.824682931
