iter	Passed	Remaining
0	5	5740
1	11	5647
2	16	5531
3	21	5411
4	27	5449
5	33	5480
6	38	5463
7	44	5523
8	50	5551
9	55	5469
10	63	5669
11	68	5660
12	74	5648
13	80	5645
14	85	5619
15	90	5589
16	96	5561
17	101	5552
18	107	5538
19	112	5530
20	117	5488
21	122	5458
22	129	5497
23	135	5512
24	142	5550
25	147	5515
26	152	5491
27	157	5471
28	163	5465
29	168	5448
30	173	5416
31	178	5396
32	183	5379
33	188	5350
34	194	5350
35	199	5339
36	204	5312
37	209	5311
38	214	5294
39	220	5285
40	226	5292
41	231	5273
42	236	5259
43	242	5263
44	247	5260
45	253	5253
46	258	5250
47	264	5237
48	269	5235
49	275	5237
50	280	5217
51	285	5210
52	291	5212
53	296	5196
54	302	5189
55	307	5179
56	312	5172
57	318	5178
58	324	5178
59	330	5177
60	335	5161
61	340	5155
62	346	5160
63	352	5154
64	358	5155
65	363	5148
66	369	5140
67	374	5139
68	380	5133
69	386	5132
70	392	5130
71	397	5118
72	402	5109
73	408	5113
74	413	5100
75	419	5095
76	424	5090
77	429	5075
78	435	5072
79	441	5076
80	446	5070
81	452	5070
82	458	5061
83	463	5058
84	469	5058
85	475	5049
86	481	5052
87	488	5061
88	494	5061
89	499	5052
90	505	5051
91	511	5044
92	516	5036
93	522	5035
94	528	5032
95	534	5035
96	540	5028
97	545	5023
98	551	5015
99	557	5014
100	562	5008
101	568	5008
102	574	5006
103	581	5005
104	587	5004
105	593	5001
106	599	5002
107	605	5002
108	611	4996
109	617	4995
110	623	4997
111	630	4995
112	636	4998
113	642	4995
114	648	4993
115	655	4991
116	661	4991
117	667	4990
118	673	4988
119	680	4993
120	687	4991
121	693	4993
122	699	4988
123	705	4982
124	711	4977
125	716	4971
126	722	4966
127	728	4961
128	733	4954
129	740	4952
130	745	4946
131	751	4944
132	757	4935
133	761	4923
134	767	4920
135	773	4916
136	779	4909
137	785	4904
138	790	4899
139	797	4897
140	802	4891
141	809	4889
142	816	4892
143	835	4967
144	846	4991
145	854	4997
146	864	5017
147	877	5053
148	883	5047
149	890	5047
150	902	5072
151	908	5065
152	914	5061
153	920	5054
154	926	5048
155	932	5044
156	938	5037
157	943	5029
158	950	5025
159	954	5012
160	961	5008
161	966	5000
162	972	4991
163	979	4991
164	985	4987
165	991	4982
166	998	4978
167	1003	4968
168	1009	4962
169	1013	4950
170	1019	4941
171	1025	4937
172	1030	4927
173	1036	4918
174	1041	4909
175	1046	4899
176	1051	4886
177	1057	4883
178	1062	4872
179	1067	4864
180	1073	4857
181	1078	4848
182	1084	4843
183	1090	4837
184	1096	4831
185	1102	4823
186	1107	4813
187	1113	4810
188	1119	4805
189	1126	4800
190	1132	4795
191	1138	4789
192	1145	4787
193	1150	4781
194	1158	4781
195	1164	4775
196	1170	4769
